iter	Passed	Remaining
846	1785	322
847	1788	320
848	1790	318
849	1791	316
850	1792	313
851	1794	311
852	1796	309
853	1798	307
854	1801	305
855	1804	303
856	1806	301
857	1808	299
858	1809	297
859	1811	294
860	1814	292
861	1816	290
862	1819	288
863	1821	286
864	1823	284
865	1824	282
866	1826	280
867	1828	278
868	1831	276
869	1833	274
870	1835	271
871	1838	269
872	1840	267
873	1842	265
874	1845	263
875	1847	261
876	1850	259
877	1851	257
878	1853	255
879	1855	253
880	1857	250
881	1859	248
882	1862	246
883	1867	245
884	1869	242
885	1870	240
886	1872	238
887	1873	236
888	1876	234
889	1879	232
890	1882	230
891	1883	228
892	1884	225
893	1886	223
894	1887	221
895	1889	219
896	1891	217
897	1896	215
898	1898	213
899	1899	211
900	1901	208
901	1902	206
902	1905	204
903	1909	202
904	1912	200
905	1914	198
906	1916	196
907	1918	194
908	1922	192
909	1927	190
910	1928	188
911	1930	186
912	1931	184
913	1932	181
914	1935	179
915	1940	177
916	1942	175
917	1944	173
918	1945	171
919	1948	169
920	1951	167
921	1955	165
922	1957	163
923	1959	161
924	1961	159
925	1963	156
926	1968	155
927	1970	152
928	1971	150
929	1973	148
930	1974	146
931	1975	144
932	1978	142
933	1980	139
934	1983	137
935	1984	135
936	1986	133
937	1988	131
938	1990	129
939	1993	127
940	1996	125
941	2001	123
942	2004	121
943	2005	118
944	2008	116
945	2011	114
946	2013	112
947	2015	110
948	2016	108
949	2018	106
950	2020	104
951	2024	102
952	2027	99
953	2028	97
954	2029	95
955	2030	93
956	2031	91
957	2033	89
958	2034	86
959	2038	84
960	2041	82
961	2042	80
962	2044	78
963	2045	76
964	2047	74
965	2049	72
966	2052	70
967	2057	68
968	2060	65
969	2061	63
970	2063	61
971	2066	59
972	2069	57
973	2071	55
974	2072	53
975	2074	51
976	2075	48
977	2077	46
978	2079	44
979	2084	42
980	2089	40
981	2091	38
982	2093	36
983	2096	34
984	2099	31
985	2102	29
986	2103	27
987	2104	25
988	2106	23
989	2108	21
990	2111	19
991	2113	17
992	2115	14
993	2116	12
994	2117	10
995	2118	8
996	2120	6
997	2121	4
998	2123	2
999	2128	0
